Floor,Room Number,Equipment Type,Equipment Name/Label,Amperage/kVA,Voltage,Phase/Wire,Fed From,Mounting,System Type,Notes
3rd Floor,ZL3.114,Feeder Panel,LDP-H2,400A,208Y/120V,3P4W,HDP-H1,Wall-mounted,Normal,Lighting/power feeder panel
3rd Floor,ZL3.114,Branch Panel,LP-3C,100A,208Y/120V,3P4W,LDP-H2,Wall-mounted,Normal,Branch circuit panel
3rd Floor,ZL3.538,Branch Panel,HP-3A,100A,480Y/277V,3P4W,HDP-H1,Wall-mounted,Normal,Lighting/power branch panel
3rd Floor,ZL3.538,Branch Panel,HP-CR-3A,100A,480Y/277V,3P4W,EHDP-CR-H,Wall-mounted,Emergency,Emergency branch panel
3rd Floor,ZL3.538,Branch Panel,LP-3B,100A,208Y/120V,3P4W,LDP-H1,Wall-mounted,Normal,Lighting/power branch panel
3rd Floor,ZL3.538,Branch Panel,LP-CR-3B,225A,208Y/120V,3P4W,ELDP-CR-H,Wall-mounted,Emergency,Emergency branch panel
3rd Floor,ZL3.130H,Branch Panel,LP-3A,100A,208Y/120V,3P4W,LDP-H1,Wall-mounted,Normal,Branch circuit panel
3rd Floor,ZL3.130H,Branch Panel,LP-3E,100A,208Y/120V,3P4W,LDP-H2,Wall-mounted,Normal,Branch circuit panel
3rd Floor,ZL3.130H,Branch Panel,LP-3D,100A,208Y/120V,3P4W,LDP-H2,Wall-mounted,Normal,Branch circuit panel
3rd Floor,ZL3.130H,Branch Panel,LP-CR-3A,150A,208Y/120V,3P4W,ELDP-CR-H,Wall-mounted,Emergency,Emergency branch panel
3rd Floor,ZL3.130H,Branch Panel,LP-CR-3E,100A,208Y/120V,3P4W,ELDP-CR-H1,Wall-mounted,Emergency,Emergency branch panel
3rd Floor,ZL3.130H,Branch Panel,LP-CR-3F,100A,208Y/120V,3P4W,ELDP-CR-H1,Wall-mounted,Emergency,Emergency branch panel
3rd Floor,ZL3.130H,Branch Panel,LP-CR-3F Sec 2,100A,208Y/120V,3P4W,LP-CR-3F,Wall-mounted,Emergency,Branch circuit panel
4th Floor,ZL4.331,Branch Panel,HP-CR-4A,100A,480Y/277V,3P4W,HP-CR-5A,Wall-mounted,Normal,Standard labeling; not generator-backed
4th Floor,ZL4.331,Branch Panel,LP-4B,100A,208Y/120V,3P4W,LDP-PH1,Wall-mounted,Normal,Normal power
4th Floor,ZL4.331,Branch Panel,LP-CR-4A,100A,208Y/120V,3P4W,ELDP-CR-HPH,Wall-mounted,Normal,Critical branch
4th Floor,ZL4.331,Branch Panel,LP-4A,225A,208Y/120V,3P4W,LDP-PH,Wall-mounted,Normal,Normal power
4th Floor,ZL4.331,Branch Panel,LP-4A Section 2,225A,208Y/120V,3P4W,LDP-PH,Wall-mounted,Normal,Continuation section of LP-4A
4th Floor,ZL4.331,Branch Panel,HP-4A,100A,480Y/277V,3P4W,HDP-PH,Wall-mounted,Normal,Lighting/mechanical loads
4th Floor,ZL4.331,Branch Panel,LP-CR-4B,100A,208Y/120V,3P4W,ELDP-CR-HPH1,Wall-mounted,Normal,Critical branch
5th Floor,ZL5.236,Branch Panel,HP-CR-5A,100A,480Y/277V,3P4W,HP-CR-6A,Wall-mounted,Emergency,Schneider Square D
5th Floor,ZL5.236,Branch Panel,LP-CR-5A,100A,208Y/120V,3P4W,ELDP-CR-HPH,Wall-mounted,Emergency,Handwritten circuits 5; 11; 3; 7; 9
5th Floor,ZL5.236,Branch Panel,LP-CR-5B,100A,208Y/120V,3P4W,ELDP-CR-HPH1,Wall-mounted,Emergency,
5th Floor,ZL5.236,Branch Panel,LP-5A,225A,208Y/120V,3P4W,LDP-PH,Wall-mounted,Normal,
5th Floor,ZL5.236,Branch Panel,LP-5A Section 2,225A,208Y/120V,3P4W,LDP-PH,Wall-mounted,Normal,Continuation of LP-5A
5th Floor,ZL5.236,Branch Panel,HP-5A,100A,480Y/277V,3P4W,HDP-PH,Wall-mounted,Normal,
5th Floor,ZL5.236,Branch Panel,LP-5B,100A,208Y/120V,3P4W,LDP-PH1,Wall-mounted,Normal,
5th Floor,ZL5.236,Branch Panel,HP-LS-5A,100A,480Y/277V,3P4W,EHDP-LS,Wall-mounted,Emergency,
5th Floor,ZL5.236,Branch Panel,LP-LS-5A,50A,208Y/120V,3P4W,T-LP-LS-5A,Wall-mounted,Emergency,Fire alarm/emergency circuit inside
5th Floor,ZL5.236,Transformer,T-LP-LS-5A,15 kVA,480-208Y/120V,3P3W,HP-LS-5A,Suspended,Emergency,Square D - mounted above rack
6th Floor,ZL6.236,Branch Panel,HP-CR-6A,100A,480Y/277V,3P4W,EHDP-CR-HPH,Wall-mounted,Emergency,
6th Floor,ZL6.236,Branch Panel,LP-CR-6C,100A,208Y/120V,3P4W,ELDP-CR-HPH1,Wall-mounted,Emergency,
6th Floor,ZL6.236,Branch Panel,LP-CR-6A,100A,208Y/120V,3P4W,ELDP-CR-HPH,Wall-mounted,Emergency,
6th Floor,ZL6.236,Branch Panel,LP-6A,225A,208Y/120V,3P4W,LDP-PH,Wall-mounted,Normal,
6th Floor,ZL6.236,Branch Panel,LP-6A SECTION 2,225A,208Y/120V,3P4W,LDP-PH,Wall-mounted,Normal,
6th Floor,ZL6.236,Branch Panel,HP-6A,100A,480Y/277V,3P4W,HDP-PH,Wall-mounted,Normal,
6th Floor,ZL6.236,Branch Panel,LP-6B,100A,208Y/120V,3P4W,LDP-PH1,Wall-mounted,Normal,
6th Floor,ZL6.236,Branch Panel,LP-CR-6B,50A,208Y/120V,3P4W,ELDP-CR-HPH,Wall-mounted,Emergency,
7th Floor,ZL7.236,Branch Panel,LP-CR-7BA,60A,208Y/120V,3P4W,LP-CR-7B,Wall-mounted,Emergency,
7th Floor,ZL7.236,Branch Panel,HP-CR-7A,100A,480Y/277V,3P4W,HP-CR-8A,Wall-mounted,Emergency,
7th Floor,ZL7.236,Branch Panel,LP-CR-7A,100A,208Y/120V,3P4W,ELDP-CR-HPH,Wall-mounted,Emergency,
7th Floor,ZL7.236,Branch Panel,LP-7A,225A,208Y/120V,3P4W,LDP-PH,Wall-mounted,Normal,
7th Floor,ZL7.236,Branch Panel,LP-7A SECTION 2,225A,208Y/120V,3P4W,LDP-PH,Wall-mounted,Normal,
7th Floor,ZL7.236,Branch Panel,HP-7A,100A,480Y/277V,3P4W,HDP-PH,Wall-mounted,Normal,
7th Floor,ZL7.236,Branch Panel,LP-7B,100A,208Y/120V,3P4W,LDP-PH1,Wall-mounted,Normal,
7th Floor,ZL7.236,Branch Panel,LP-CR-7B,100A,208Y/120V,3P4W,ELDP-CR-HPH1,Wall-mounted,Emergency,
8th Floor,ZL8.224,Branch Panel,HP-CR-8A,100A,480Y/277V,3P4W,E HDP-CR-HPH,Wall-mounted,Emergency,Emergency branch circuit panel
8th Floor,ZL8.224,Branch Panel,LP-CR-8A,100A,208Y/120V,3P4W,ELDP-CR-HPH,Wall-mounted,Emergency,Emergency lighting/power branch panel
8th Floor,ZL8.224,Branch Panel,LP-CR-8B,100A,208Y/120V,3P4W,ELDP-CR-HPH1,Wall-mounted,Emergency,Emergency lighting/power branch panel
8th Floor,ZL8.224,Branch Panel,HP-LS-8A,100A,480Y/277V,3P4W,HP-LS-5A,Wall-mounted,Emergency,Life safety branch circuit panel
8th Floor,ZL8.224,Branch Panel,LP-LS-8A,50A,208Y/120V,3P4W,T-LP-LS-8A,Wall-mounted,Emergency,Fire alarm/emergency branch panel
8th Floor,ZL8.224,Transformer,T-LP-LS-8A,15 kVA,480-208Y/120V,3P3W,HP-LS-8A,Suspended,Emergency,Step-down transformer
8th Floor,ZL8.224,Branch Panel,HP-8A,100A,480Y/277V,3P4W,HDP-PH,Wall-mounted,Normal,Normal power branch circuit panel
8th Floor,ZL8.224,Branch Panel,LP-8A,225A,208Y/120V,3P4W,LDP-PH,Wall-mounted,Normal,Normal lighting/power branch panel
8th Floor,ZL8.224,Branch Panel,LP-8A Section 2,225A,208Y/120V,3P4W,LDP-PH,Wall-mounted,Normal,Continuation section of LP-8A
8th Floor,ZL8.224,Branch Panel,LP-8B,100A,208Y/120V,3P4W,LDP-PH1,Wall-mounted,Normal,Normal lighting/power branch panel
9th Floor,9th Floor Electrical Room,Feeder Panel,E HDP-CR-HPH,250A,480Y/277V,3P4W,E HDP-CR,Wall-mounted,Emergency,Square D I-Line feeder panel
9th Floor,9th Floor Electrical Room,Feeder Panel,ELDP-CR-HPH,400A,208Y/120V,3P4W,T-ELDP-CR-HPH,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,9th Floor Electrical Room,Feeder Panel,ELDP-CR-HPH1,400A,208Y/120V,3P4W,T-ELDP-CR-HPH1,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,9th Floor Electrical Room,Feeder Panel,LDP-PH1,400A,208Y/120V,3P4W,T-LDP-PH1,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,9th Floor Electrical Room,Branch Panel,LP-9A,100A,208Y/120V,3P4W,LDP-PH,Wall-mounted,Normal,Square D branch-circuit panel
9th Floor,9th Floor Electrical Room,Feeder Panel,LDP-PH,1000A,208Y/120V,3P4W,T-LDP-PH,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,9th Floor Electrical Room,Feeder Panel,HDP-PH,800A,480Y/277V,3P4W,MSB-HB,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,9th Floor Electrical Room,Transformer,T-ELDP-CR-HPH,112.5 kVA,480-208Y/120V,3P4W,E HDP-CR-HPH,Floor-mounted,Normal,Step-down; floor-mounted
9th Floor,9th Floor Electrical Room,Transformer,T-ELDP-CR-HPH1,112.5 kVA,480-208Y/120V,3P4W,E HDP-CR-HPH,Floor-mounted,Normal,Step-down; floor-mounted
9th Floor,9th Floor Electrical Room,Transformer,T-LDP-PH1,150 kVA,480-208Y/120V,3P3W,HDP-PH,Floor-mounted,Normal,Step-down; floor-mounted
9th Floor,9th Floor Electrical Room,Transformer,T-LDP-PH,300 kVA,480-208Y/120V,3P3W,HDP-PH,Floor-mounted,Normal,Step-down; floor-mounted
9th Floor,Penthouse General Area,Feeder Panel,MD-PH,800A,480Y/277V,3P4W,MSB-HB,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,Penthouse General Area,Feeder Panel,HP-PH,150A,480Y/277V,3P4W,MD-PH,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,Penthouse General Area,Feeder Panel,LP-PH,100A,208Y/120V,3P4W,T-LP-PH,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,Penthouse General Area,Feeder Panel,LP-EQ-PH,100A,208Y/120V,3P4W,LP-EQ-2A,Wall-mounted,Emergency,Square D I-Line feeder panel
9th Floor,Penthouse General Area,Transformer,T-LP-PH,30 kVA,480-208Y/120V,3P3W,HP-PH,Floor-mounted,Normal,Square D dry-type; floor-mounted
9th Floor,Penthouse General Area,Disconnect,EF-9-1,15A,480Y/277V,3P3W,MD-PH,Wall-mounted,Normal,Exhaust-fan disconnect
9th Floor,9th Floor Elevator Room 1,Feeder Panel,DP-2,350A,480Y/277V,3P4W,E-HDP-EE2,Wall-mounted,Emergency,Square D I-Line feeder panel
9th Floor,9th Floor Elevator Room 1,Branch Panel,FRT ELEV LOAD CENTER,,,,,Wall-mounted,,Freight Elevator Load Center
9th Floor,9th Floor Elevator Room 1,Disconnect,ELEV A-973,125A,480Y/277V,3P3W,DP-2,Wall-mounted,Emergency,Disconnect for Elevator #4
9th Floor,9th Floor Elevator Room 1,Disconnect,ELEV B-974,125A,480Y/277V,3P3W,DP-2,Wall-mounted,Emergency,Disconnect for Elevator #5
9th Floor,9th Floor Elevator Room 1,Disconnect,ELEV C-975,125A,480Y/277V,3P3W,DP-2,Wall-mounted,Emergency,Disconnect for Elevator #6
9th Floor,9th Floor Elevator Room 1,Transformer,Elevator 1 Transformer,51 kVA,480-169/92V,3P,,Floor-mounted,,Jefferson Electric 423-E500-057
9th Floor,9th Floor Elevator Room 1,Transformer,Elevator 2 Transformer,51 kVA,480-169/92V,3P,,Floor-mounted,,Jefferson Electric 423-E500-057
9th Floor,9th Floor Elevator Room 1,Transformer,Elevator 3 Transformer,51 kVA,480-169/92V,3P,,Floor-mounted,,Jefferson Electric 423-E500-057
9th Floor,9th Floor Elevator Room 1,Transformer,Elevator 4 Transformer,63 kVA,480-210Y/121V,3P,,Floor-mounted,,Jefferson Electric 423-E500-174
9th Floor,9th Floor Elevator Room 1,Transformer,Elevator 5 Transformer,63 kVA,480-210Y/121V,3P,,Floor-mounted,,Jefferson Electric 423-E500-174
9th Floor,9th Floor Elevator Room 1,Transformer,Elevator 6 Transformer,63 kVA,480-480Y/277V,3P,,Floor-mounted,,Hammond Power Solutions DM063KK
9th Floor,9th Floor Elevator Room 2,Feeder Panel,DP-1,225A,480Y/277V,3P4W,E-HDP-EE2,Wall-mounted,Emergency,Square D I-Line feeder panel
9th Floor,9th Floor Elevator Room 2,Branch Panel,PASS ELEV LOAD CENTER,,,,,Wall-mounted,,Passenger Elevator Load Center
9th Floor,9th Floor Elevator Room 2,Disconnect,ELEV 76,100A,480Y/277V,3P3W,DP-1,Wall-mounted,Emergency,Eaton HD safety switch
9th Floor,9th Floor Elevator Room 2,Disconnect,ELEV 77,100A,480Y/277V,3P3W,DP-1,Wall-mounted,Emergency,Eaton HD safety switch
9th Floor,9th Floor Elevator Room 2,Disconnect,ELEV 78,100A,480Y/277V,3P3W,DP-1,Wall-mounted,Emergency,Eaton HD safety switch
9th Floor,9th Floor Elevator Room 2,Transformer,Elevator Transformers (6 total),,480-208/120V (est.),3P,,Floor-mounted,,Unmarked; to be IR scanned
